date,covid,isPartial
2023-11-05,5,False
2023-11-12,5,False
2023-11-19,5,False
2023-11-26,6,False
2023-12-03,5,False
2023-12-10,6,False
2023-12-17,8,False
2023-12-24,8,False
2023-12-31,7,False
2024-01-07,6,False
2024-01-14,5,False
2024-01-21,5,False
2024-01-28,4,False
2024-02-04,4,False
2024-02-11,4,False
2024-02-18,4,False
2024-02-25,4,False
2024-03-03,3,False
2024-03-10,3,False
2024-03-17,2,False
2024-03-24,2,False
2024-03-31,2,False
2024-04-07,2,False
2024-04-14,2,False
2024-04-21,2,False
2024-04-28,2,False
2024-05-05,2,False
2024-05-12,2,False
2024-05-19,2,False
2024-05-26,2,False
2024-06-02,2,False
2024-06-09,3,False
2024-06-16,3,False
2024-06-23,4,False
2024-06-30,4,False
2024-07-07,4,False
2024-07-14,6,False
2024-07-21,5,False
2024-07-28,5,False
2024-08-04,6,False
2024-08-11,6,False
2024-08-18,6,False
2024-08-25,6,False
2024-09-01,5,False
2024-09-08,5,False
2024-09-15,5,False
2024-09-22,5,False
2024-09-29,4,False
2024-10-06,3,False
2024-10-13,3,False
2024-10-20,3,False
2024-10-27,3,False
2024-11-03,2,False
2024-11-10,2,False
2024-11-17,2,False
2024-11-24,2,False
2024-12-01,2,False
2024-12-08,2,False
2024-12-15,3,False
2024-12-22,3,False
2024-12-29,3,False
2025-01-05,3,False
2025-01-12,2,False
2025-01-19,2,False
2025-01-26,3,False
2025-02-02,2,False
2025-02-09,2,False
2025-02-16,2,False
2025-02-23,2,False
2025-03-02,2,False
2025-03-09,2,False
2025-03-16,2,False
2025-03-23,2,False
2025-03-30,2,False
2025-04-06,2,False
2025-04-13,2,False
2025-04-20,2,False
2025-04-27,2,False
2025-05-04,2,False
2025-05-11,2,False
2025-05-18,2,False
2025-05-25,2,False
2025-06-01,2,False
2025-06-08,2,False
2025-06-15,2,False
2025-06-22,2,False
2025-06-29,2,False
2025-07-06,3,False
2025-07-13,2,False
2025-07-20,2,False
2025-07-27,2,False
2025-08-03,2,False
2025-08-10,3,False
2025-08-17,3,False
2025-08-24,4,False
2025-08-31,4,False
2025-09-07,4,False
2025-09-14,4,False
2025-09-21,3,False
2025-09-28,3,False
2025-10-05,2,False
2025-10-12,2,False
2025-10-19,2,False
2025-10-26,2,False
2025-11-02,2,False
2025-11-09,2,False
2025-11-16,2,False
2025-11-23,2,False
2025-11-30,2,False
2025-12-07,2,False
2025-12-14,2,False
2025-12-21,2,False
2025-12-28,2,False
2026-01-04,2,False
2026-01-11,2,False
2026-01-18,2,False
2026-01-25,2,False
2026-02-01,2,False
2026-02-08,2,False
2026-02-15,2,False
2026-02-22,2,False
2026-03-01,2,False
2026-03-08,2,False
2026-03-15,2,False
2026-03-22,2,False
2026-03-29,2,False
2026-04-05,2,False
2026-04-12,1,False
2026-04-19,1,False
2026-04-26,1,False
2026-05-03,2,False
2026-05-10,2,False
2026-05-17,1,False
2026-05-24,1,False
2026-05-31,1,False
2026-06-07,1,False
2026-06-14,1,False
2026-06-21,1,False
2026-06-28,1,False
2026-07-05,1,False
2026-07-12,1,False
2026-07-19,1,False
2026-07-26,2,False
2026-08-02,2,False
2026-08-09,2,False
2026-08-16,2,False
2026-08-23,2,False
2026-08-30,2,False
2026-09-06,2,False
2026-09-13,2,True
