date,the flu symptoms,isPartial
2025-09-07,14,False
2025-09-14,14,False
2025-09-21,16,False
2025-09-28,16,False
2025-10-05,16,False
2025-10-12,16,False
2025-10-19,17,False
2025-10-26,17,False
2025-11-02,19,False
2025-11-09,21,False
2025-11-16,26,False
2025-11-23,27,False
2025-11-30,35,False
2025-12-07,41,False
2025-12-14,67,False
2025-12-21,98,False
2025-12-28,100,False
2026-01-04,93,False
2026-01-11,70,False
2026-01-18,61,False
2026-01-25,52,False
2026-02-01,76,False
2026-02-08,83,False
2026-02-15,78,False
2026-02-22,59,False
2026-03-01,39,False
2026-03-08,32,False
2026-03-15,33,False
2026-03-22,29,False
2026-03-29,25,False
2026-04-05,26,False
2026-04-12,24,False
2026-04-19,24,False
2026-04-26,26,False
2026-05-03,27,False
2026-05-10,25,False
2026-05-17,24,False
2026-05-24,29,False
2026-05-31,30,False
2026-06-07,39,False
2026-06-14,44,False
2026-06-21,49,False
2026-06-28,18,False
2026-07-05,16,False
2026-07-12,19,False
2026-07-19,11,False
2026-07-26,15,False
2026-08-02,19,False
2026-08-09,14,False
2026-08-16,12,False
2026-08-23,12,False
2026-08-30,22,False
2026-09-06,23,False
2026-09-13,30,True
