date,tamiflu,isPartial
2025-07-27,1,False
2025-08-03,1,False
2025-08-10,0,False
2025-08-17,0,False
2025-08-24,1,False
2025-08-31,0,False
2025-09-07,2,False
2025-09-14,2,False
2025-09-21,2,False
2025-09-28,1,False
2025-10-05,1,False
2025-10-12,2,False
2025-10-19,2,False
2025-10-26,2,False
2025-11-02,3,False
2025-11-09,5,False
2025-11-16,9,False
2025-11-23,16,False
2025-11-30,20,False
2025-12-07,38,False
2025-12-14,76,False
2025-12-21,100,False
2025-12-28,69,False
2026-01-04,35,False
2026-01-11,24,False
2026-01-18,15,False
2026-01-25,12,False
2026-02-01,10,False
2026-02-08,9,False
2026-02-15,11,False
2026-02-22,7,False
2026-03-01,8,False
2026-03-08,9,False
2026-03-15,9,False
2026-03-22,9,False
2026-03-29,9,False
2026-04-05,6,False
2026-04-12,3,False
2026-04-19,3,False
2026-04-26,3,False
2026-05-03,3,False
2026-05-10,3,False
2026-05-17,2,False
2026-05-24,3,False
2026-05-31,1,False
2026-06-07,1,False
2026-06-14,2,False
2026-06-21,1,False
2026-06-28,2,False
2026-07-05,1,False
2026-07-12,2,False
2026-07-19,2,False
2026-07-26,2,False
2026-08-02,1,False
2026-08-09,1,False
2026-08-16,2,False
2026-08-23,0,False
2026-08-30,2,False
2026-09-06,2,False
2026-09-13,2,True
