date,how long does flu last,isPartial
2023-12-31,49,False
2024-01-07,38,False
2024-01-14,34,False
2024-01-21,34,False
2024-01-28,36,False
2024-02-04,36,False
2024-02-11,32,False
2024-02-18,35,False
2024-02-25,31,False
2024-03-03,26,False
2024-03-10,24,False
2024-03-17,21,False
2024-03-24,19,False
2024-03-31,16,False
2024-04-07,15,False
2024-04-14,13,False
2024-04-21,12,False
2024-04-28,11,False
2024-05-05,10,False
2024-05-12,9,False
2024-05-19,9,False
2024-05-26,9,False
2024-06-02,9,False
2024-06-09,8,False
2024-06-16,8,False
2024-06-23,7,False
2024-06-30,7,False
2024-07-07,8,False
2024-07-14,8,False
2024-07-21,7,False
2024-07-28,7,False
2024-08-04,7,False
2024-08-11,8,False
2024-08-18,9,False
2024-08-25,9,False
2024-09-01,10,False
2024-09-08,11,False
2024-09-15,13,False
2024-09-22,14,False
2024-09-29,12,False
2024-10-06,13,False
2024-10-13,13,False
2024-10-20,14,False
2024-10-27,14,False
2024-11-03,13,False
2024-11-10,15,False
2024-11-17,17,False
2024-11-24,17,False
2024-12-01,21,False
2024-12-08,26,False
2024-12-15,41,False
2024-12-22,60,False
2024-12-29,60,False
2025-01-05,47,False
2025-01-12,53,False
2025-01-19,68,False
2025-01-26,88,False
2025-02-02,88,False
2025-02-09,86,False
2025-02-16,69,False
2025-02-23,52,False
2025-03-02,42,False
2025-03-09,36,False
2025-03-16,28,False
2025-03-23,25,False
2025-03-30,20,False
2025-04-06,17,False
2025-04-13,16,False
2025-04-20,15,False
2025-04-27,11,False
2025-05-04,11,False
2025-05-11,12,False
2025-05-18,11,False
2025-05-25,10,False
2025-06-01,9,False
2025-06-08,8,False
2025-06-15,7,False
2025-06-22,6,False
2025-06-29,5,False
2025-07-06,7,False
2025-07-13,6,False
2025-07-20,6,False
2025-07-27,6,False
2025-08-03,5,False
2025-08-10,6,False
2025-08-17,7,False
2025-08-24,8,False
2025-08-31,11,False
2025-09-07,10,False
2025-09-14,12,False
2025-09-21,11,False
2025-09-28,12,False
2025-10-05,12,False
2025-10-12,13,False
2025-10-19,12,False
2025-10-26,12,False
2025-11-02,14,False
2025-11-09,15,False
2025-11-16,19,False
2025-11-23,22,False
2025-11-30,25,False
2025-12-07,34,False
2025-12-14,63,False
2025-12-21,100,False
2025-12-28,96,False
2026-01-04,66,False
2026-01-11,44,False
2026-01-18,42,False
2026-01-25,37,False
2026-02-01,34,False
2026-02-08,36,False
2026-02-15,38,False
2026-02-22,31,False
2026-03-01,30,False
2026-03-08,26,False
2026-03-15,21,False
2026-03-22,20,False
2026-03-29,15,False
2026-04-05,14,False
2026-04-12,11,False
2026-04-19,10,False
2026-04-26,9,False
2026-05-03,9,False
2026-05-10,9,False
2026-05-17,8,False
2026-05-24,9,False
2026-05-31,7,False
2026-06-07,7,False
2026-06-14,5,False
2026-06-21,6,False
2026-06-28,5,False
2026-07-05,5,False
2026-07-12,5,False
2026-07-19,5,False
2026-07-26,4,False
2026-08-02,5,False
2026-08-09,5,False
2026-08-16,7,False
2026-08-23,7,False
2026-08-30,9,False
2026-09-06,10,False
2026-09-13,12,True
