date,flu,isPartial
2023-11-12,17,False
2023-11-19,16,False
2023-11-26,20,False
2023-12-03,19,False
2023-12-10,25,False
2023-12-17,27,False
2023-12-24,31,False
2023-12-31,29,False
2024-01-07,22,False
2024-01-14,20,False
2024-01-21,19,False
2024-01-28,20,False
2024-02-04,20,False
2024-02-11,21,False
2024-02-18,22,False
2024-02-25,20,False
2024-03-03,18,False
2024-03-10,15,False
2024-03-17,15,False
2024-03-24,15,False
2024-03-31,18,False
2024-04-07,15,False
2024-04-14,12,False
2024-04-21,14,False
2024-04-28,13,False
2024-05-05,9,False
2024-05-12,9,False
2024-05-19,10,False
2024-05-26,9,False
2024-06-02,9,False
2024-06-09,7,False
2024-06-16,8,False
2024-06-23,7,False
2024-06-30,6,False
2024-07-07,6,False
2024-07-14,6,False
2024-07-21,7,False
2024-07-28,6,False
2024-08-04,6,False
2024-08-11,8,False
2024-08-18,9,False
2024-08-25,10,False
2024-09-01,13,False
2024-09-08,17,False
2024-09-15,17,False
2024-09-22,21,False
2024-09-29,20,False
2024-10-06,21,False
2024-10-13,20,False
2024-10-20,19,False
2024-10-27,18,False
2024-11-03,16,False
2024-11-10,19,False
2024-11-17,17,False
2024-11-24,16,False
2024-12-01,18,False
2024-12-08,20,False
2024-12-15,28,False
2024-12-22,37,False
2024-12-29,45,False
2025-01-05,45,False
2025-01-12,44,False
2025-01-19,52,False
2025-01-26,64,False
2025-02-02,62,False
2025-02-09,66,False
2025-02-16,54,False
2025-02-23,47,False
2025-03-02,28,False
2025-03-09,27,False
2025-03-16,27,False
2025-03-23,23,False
2025-03-30,17,False
2025-04-06,15,False
2025-04-13,14,False
2025-04-20,13,False
2025-04-27,11,False
2025-05-04,9,False
2025-05-11,8,False
2025-05-18,8,False
2025-05-25,9,False
2025-06-01,8,False
2025-06-08,6,False
2025-06-15,6,False
2025-06-22,7,False
2025-06-29,6,False
2025-07-06,8,False
2025-07-13,7,False
2025-07-20,6,False
2025-07-27,6,False
2025-08-03,7,False
2025-08-10,8,False
2025-08-17,8,False
2025-08-24,10,False
2025-08-31,13,False
2025-09-07,15,False
2025-09-14,18,False
2025-09-21,20,False
2025-09-28,22,False
2025-10-05,21,False
2025-10-12,22,False
2025-10-19,22,False
2025-10-26,19,False
2025-11-02,20,False
2025-11-09,21,False
2025-11-16,24,False
2025-11-23,25,False
2025-11-30,33,False
2025-12-07,46,False
2025-12-14,81,False
2025-12-21,100,False
2025-12-28,93,False
2026-01-04,66,False
2026-01-11,38,False
2026-01-18,27,False
2026-01-25,21,False
2026-02-01,21,False
2026-02-08,21,False
2026-02-15,22,False
2026-02-22,18,False
2026-03-01,17,False
2026-03-08,19,False
2026-03-15,19,False
2026-03-22,19,False
2026-03-29,18,False
2026-04-05,15,False
2026-04-12,14,False
2026-04-19,12,False
2026-04-26,10,False
2026-05-03,11,False
2026-05-10,12,False
2026-05-17,11,False
2026-05-24,11,False
2026-05-31,10,False
2026-06-07,10,False
2026-06-14,10,False
2026-06-21,10,False
2026-06-28,7,False
2026-07-05,8,False
2026-07-12,7,False
2026-07-19,7,False
2026-07-26,7,False
2026-08-02,8,False
2026-08-09,8,False
2026-08-16,9,False
2026-08-23,15,False
2026-08-30,13,False
2026-09-06,15,False
2026-09-13,21,True
