date,high fever,isPartial
2024-08-11,36,False
2024-08-18,39,False
2024-08-25,47,False
2024-09-01,45,False
2024-09-08,42,False
2024-09-15,43,False
2024-09-22,41,False
2024-09-29,42,False
2024-10-06,37,False
2024-10-13,37,False
2024-10-20,42,False
2024-10-27,39,False
2024-11-03,41,False
2024-11-10,40,False
2024-11-17,45,False
2024-11-24,41,False
2024-12-01,47,False
2024-12-08,53,False
2024-12-15,62,False
2024-12-22,77,False
2024-12-29,68,False
2025-01-05,61,False
2025-01-12,70,False
2025-01-19,78,False
2025-01-26,88,False
2025-02-02,88,False
2025-02-09,73,False
2025-02-16,62,False
2025-02-23,60,False
2025-03-02,55,False
2025-03-09,50,False
2025-03-16,48,False
2025-03-23,45,False
2025-03-30,42,False
2025-04-06,42,False
2025-04-13,41,False
2025-04-20,41,False
2025-04-27,37,False
2025-05-04,38,False
2025-05-11,39,False
2025-05-18,38,False
2025-05-25,37,False
2025-06-01,36,False
2025-06-08,36,False
2025-06-15,37,False
2025-06-22,37,False
2025-06-29,36,False
2025-07-06,37,False
2025-07-13,37,False
2025-07-20,39,False
2025-07-27,43,False
2025-08-03,38,False
2025-08-10,35,False
2025-08-17,38,False
2025-08-24,38,False
2025-08-31,38,False
2025-09-07,36,False
2025-09-14,40,False
2025-09-21,47,False
2025-09-28,44,False
2025-10-05,37,False
2025-10-12,37,False
2025-10-19,38,False
2025-10-26,37,False
2025-11-02,43,False
2025-11-09,47,False
2025-11-16,51,False
2025-11-23,44,False
2025-11-30,48,False
2025-12-07,60,False
2025-12-14,77,False
2025-12-21,90,False
2025-12-28,73,False
2026-01-04,60,False
2026-01-11,58,False
2026-01-18,62,False
2026-01-25,61,False
2026-02-01,70,False
2026-02-08,65,False
2026-02-15,70,False
2026-02-22,67,False
2026-03-01,65,False
2026-03-08,64,False
2026-03-15,66,False
2026-03-22,69,False
2026-03-29,69,False
2026-04-05,69,False
2026-04-12,62,False
2026-04-19,75,False
2026-04-26,68,False
2026-05-03,69,False
2026-05-10,62,False
2026-05-17,78,False
2026-05-24,93,False
2026-05-31,95,False
2026-06-07,99,False
2026-06-14,91,False
2026-06-21,80,False
2026-06-28,58,False
2026-07-05,54,False
2026-07-12,46,False
2026-07-19,40,False
2026-07-26,34,False
2026-08-02,40,False
2026-08-09,36,False
2026-08-16,38,False
2026-08-23,38,False
2026-08-30,36,False
2026-09-06,37,False
2026-09-13,40,True
