date,what is influenza,isPartial
2024-05-12,21,False
2024-05-19,17,False
2024-05-26,15,False
2024-06-02,18,False
2024-06-09,14,False
2024-06-16,13,False
2024-06-23,13,False
2024-06-30,12,False
2024-07-07,12,False
2024-07-14,12,False
2024-07-21,10,False
2024-07-28,11,False
2024-08-04,9,False
2024-08-11,11,False
2024-08-18,16,False
2024-08-25,20,False
2024-09-01,19,False
2024-09-08,24,False
2024-09-15,26,False
2024-09-22,24,False
2024-09-29,23,False
2024-10-06,22,False
2024-10-13,23,False
2024-10-20,24,False
2024-10-27,25,False
2024-11-03,23,False
2024-11-10,28,False
2024-11-17,28,False
2024-11-24,20,False
2024-12-01,29,False
2024-12-08,31,False
2024-12-15,35,False
2024-12-22,34,False
2024-12-29,40,False
2025-01-05,40,False
2025-01-12,47,False
2025-01-19,52,False
2025-01-26,69,False
2025-02-02,78,False
2025-02-09,68,False
2025-02-16,59,False
2025-02-23,47,False
2025-03-02,44,False
2025-03-09,40,False
2025-03-16,30,False
2025-03-23,32,False
2025-03-30,30,False
2025-04-06,31,False
2025-04-13,29,False
2025-04-20,27,False
2025-04-27,26,False
2025-05-04,24,False
2025-05-11,23,False
2025-05-18,19,False
2025-05-25,16,False
2025-06-01,16,False
2025-06-08,17,False
2025-06-15,14,False
2025-06-22,15,False
2025-06-29,14,False
2025-07-06,15,False
2025-07-13,13,False
2025-07-20,14,False
2025-07-27,18,False
2025-08-03,16,False
2025-08-10,14,False
2025-08-17,16,False
2025-08-24,20,False
2025-08-31,21,False
2025-09-07,24,False
2025-09-14,29,False
2025-09-21,26,False
2025-09-28,27,False
2025-10-05,27,False
2025-10-12,24,False
2025-10-19,28,False
2025-10-26,25,False
2025-11-02,28,False
2025-11-09,32,False
2025-11-16,34,False
2025-11-23,51,False
2025-11-30,85,False
2025-12-07,94,False
2025-12-14,89,False
2025-12-21,97,False
2025-12-28,100,False
2026-01-04,85,False
2026-01-11,63,False
2026-01-18,66,False
2026-01-25,82,False
2026-02-01,98,False
2026-02-08,73,False
2026-02-15,76,False
2026-02-22,74,False
2026-03-01,66,False
2026-03-08,53,False
2026-03-15,49,False
2026-03-22,49,False
2026-03-29,42,False
2026-04-05,39,False
2026-04-12,40,False
2026-04-19,43,False
2026-04-26,42,False
2026-05-03,39,False
2026-05-10,43,False
2026-05-17,39,False
2026-05-24,41,False
2026-05-31,53,False
2026-06-07,59,False
2026-06-14,67,False
2026-06-21,48,False
2026-06-28,31,False
2026-07-05,29,False
2026-07-12,20,False
2026-07-19,14,False
2026-07-26,13,False
2026-08-02,12,False
2026-08-09,14,False
2026-08-16,14,False
2026-08-23,17,False
2026-08-30,21,False
2026-09-06,19,False
2026-09-13,27,True
