date,S&P 500,isPartial
2024-12-08,17,False
2024-12-15,20,False
2024-12-22,15,False
2024-12-29,18,False
2025-01-05,18,False
2025-01-12,19,False
2025-01-19,19,False
2025-01-26,23,False
2025-02-02,25,False
2025-02-09,19,False
2025-02-16,18,False
2025-02-23,24,False
2025-03-02,34,False
2025-03-09,43,False
2025-03-16,27,False
2025-03-23,23,False
2025-03-30,59,False
2025-04-06,100,False
2025-04-13,37,False
2025-04-20,36,False
2025-04-27,30,False
2025-05-04,25,False
2025-05-11,31,False
2025-05-18,25,False
2025-05-25,22,False
2025-06-01,25,False
2025-06-08,24,False
2025-06-15,20,False
2025-06-22,27,False
2025-06-29,26,False
2025-07-06,26,False
2025-07-13,28,False
2025-07-20,32,False
2025-07-27,37,False
2025-08-03,30,False
2025-08-10,27,False
2025-08-17,25,False
2025-08-24,23,False
2025-08-31,22,False
2025-09-07,22,False
2025-09-14,25,False
2025-09-21,23,False
2025-09-28,24,False
2025-10-05,25,False
2025-10-12,27,False
2025-10-19,24,False
2025-10-26,28,False
2025-11-02,28,False
2025-11-09,27,False
2025-11-16,32,False
2025-11-23,24,False
2025-11-30,30,False
2025-12-07,27,False
2025-12-14,26,False
2025-12-21,23,False
2025-12-28,25,False
2026-01-04,29,False
2026-01-11,28,False
2026-01-18,30,False
2026-01-25,30,False
2026-02-01,35,False
2026-02-08,31,False
2026-02-15,28,False
2026-02-22,31,False
2026-03-01,38,False
2026-03-08,38,False
2026-03-15,35,False
2026-03-22,38,False
2026-03-29,36,False
2026-04-05,38,False
2026-04-12,41,False
2026-04-19,36,False
2026-04-26,31,False
2026-05-03,33,False
2026-05-10,33,False
2026-05-17,32,False
2026-05-24,32,False
2026-05-31,44,False
2026-06-07,50,False
2026-06-14,45,False
2026-06-21,46,False
2026-06-28,50,False
2026-07-05,49,False
2026-07-12,29,False
2026-07-19,27,False
2026-07-26,24,False
2026-08-02,28,False
2026-08-09,26,False
2026-08-16,22,False
2026-08-23,20,False
2026-08-30,19,False
2026-09-06,15,False
2026-09-13,18,True
