date,fever symptoms,isPartial
2023-07-16,23,False
2023-07-23,24,False
2023-07-30,23,False
2023-08-06,23,False
2023-08-13,25,False
2023-08-20,24,False
2023-08-27,25,False
2023-09-03,26,False
2023-09-10,25,False
2023-09-17,26,False
2023-09-24,26,False
2023-10-01,24,False
2023-10-08,25,False
2023-10-15,25,False
2023-10-22,25,False
2023-10-29,24,False
2023-11-05,27,False
2023-11-12,27,False
2023-11-19,26,False
2023-11-26,29,False
2023-12-03,31,False
2023-12-10,35,False
2023-12-17,35,False
2023-12-24,37,False
2023-12-31,34,False
2024-01-07,29,False
2024-01-14,27,False
2024-01-21,28,False
2024-01-28,28,False
2024-02-04,30,False
2024-02-11,28,False
2024-02-18,30,False
2024-02-25,31,False
2024-03-03,28,False
2024-03-10,28,False
2024-03-17,27,False
2024-03-24,27,False
2024-03-31,26,False
2024-04-07,27,False
2024-04-14,26,False
2024-04-21,27,False
2024-04-28,26,False
2024-05-05,27,False
2024-05-12,26,False
2024-05-19,27,False
2024-05-26,27,False
2024-06-02,26,False
2024-06-09,26,False
2024-06-16,27,False
2024-06-23,28,False
2024-06-30,30,False
2024-07-07,31,False
2024-07-14,26,False
2024-07-21,26,False
2024-07-28,26,False
2024-08-04,26,False
2024-08-11,26,False
2024-08-18,27,False
2024-08-25,34,False
2024-09-01,26,False
2024-09-08,25,False
2024-09-15,25,False
2024-09-22,25,False
2024-09-29,25,False
2024-10-06,25,False
2024-10-13,24,False
2024-10-20,25,False
2024-10-27,26,False
2024-11-03,22,False
2024-11-10,24,False
2024-11-17,28,False
2024-11-24,25,False
2024-12-01,26,False
2024-12-08,28,False
2024-12-15,32,False
2024-12-22,37,False
2024-12-29,36,False
2025-01-05,31,False
2025-01-12,31,False
2025-01-19,32,False
2025-01-26,38,False
2025-02-02,37,False
2025-02-09,33,False
2025-02-16,30,False
2025-02-23,31,False
2025-03-02,28,False
2025-03-09,29,False
2025-03-16,28,False
2025-03-23,28,False
2025-03-30,26,False
2025-04-06,26,False
2025-04-13,26,False
2025-04-20,28,False
2025-04-27,26,False
2025-05-04,24,False
2025-05-11,25,False
2025-05-18,25,False
2025-05-25,25,False
2025-06-01,23,False
2025-06-08,23,False
2025-06-15,23,False
2025-06-22,23,False
2025-06-29,22,False
2025-07-06,22,False
2025-07-13,22,False
2025-07-20,24,False
2025-07-27,24,False
2025-08-03,23,False
2025-08-10,22,False
2025-08-17,24,False
2025-08-24,25,False
2025-08-31,23,False
2025-09-07,21,False
2025-09-14,22,False
2025-09-21,24,False
2025-09-28,23,False
2025-10-05,21,False
2025-10-12,22,False
2025-10-19,21,False
2025-10-26,21,False
2025-11-02,24,False
2025-11-09,25,False
2025-11-16,27,False
2025-11-23,25,False
2025-11-30,26,False
2025-12-07,28,False
2025-12-14,35,False
2025-12-21,37,False
2025-12-28,36,False
2026-01-04,32,False
2026-01-11,29,False
2026-01-18,35,False
2026-01-25,29,False
2026-02-01,32,False
2026-02-08,33,False
2026-02-15,33,False
2026-02-22,36,False
2026-03-01,35,False
2026-03-08,39,False
2026-03-15,50,False
2026-03-22,42,False
2026-03-29,46,False
2026-04-05,48,False
2026-04-12,41,False
2026-04-19,54,False
2026-04-26,46,False
2026-05-03,47,False
2026-05-10,45,False
2026-05-17,62,False
2026-05-24,79,False
2026-05-31,100,False
2026-06-07,94,False
2026-06-14,86,False
2026-06-21,69,False
2026-06-28,46,False
2026-07-05,44,False
2026-07-12,37,False
2026-07-19,28,False
2026-07-26,23,False
2026-08-02,25,False
2026-08-09,22,False
2026-08-16,22,False
2026-08-23,20,False
2026-08-30,22,False
2026-09-06,24,False
2026-09-13,25,True
