date,stomach flu,isPartial
2024-03-17,38,False
2024-03-24,36,False
2024-03-31,38,False
2024-04-07,34,False
2024-04-14,30,False
2024-04-21,30,False
2024-04-28,26,False
2024-05-05,26,False
2024-05-12,27,False
2024-05-19,24,False
2024-05-26,27,False
2024-06-02,24,False
2024-06-09,22,False
2024-06-16,22,False
2024-06-23,21,False
2024-06-30,19,False
2024-07-07,19,False
2024-07-14,17,False
2024-07-21,17,False
2024-07-28,16,False
2024-08-04,17,False
2024-08-11,17,False
2024-08-18,17,False
2024-08-25,16,False
2024-09-01,19,False
2024-09-08,18,False
2024-09-15,20,False
2024-09-22,21,False
2024-09-29,22,False
2024-10-06,23,False
2024-10-13,25,False
2024-10-20,27,False
2024-10-27,29,False
2024-11-03,28,False
2024-11-10,33,False
2024-11-17,38,False
2024-11-24,45,False
2024-12-01,51,False
2024-12-08,53,False
2024-12-15,69,False
2024-12-22,100,False
2024-12-29,80,False
2025-01-05,51,False
2025-01-12,57,False
2025-01-19,58,False
2025-01-26,72,False
2025-02-02,68,False
2025-02-09,63,False
2025-02-16,57,False
2025-02-23,52,False
2025-03-02,48,False
2025-03-09,45,False
2025-03-16,42,False
2025-03-23,38,False
2025-03-30,34,False
2025-04-06,30,False
2025-04-13,30,False
2025-04-20,29,False
2025-04-27,24,False
2025-05-04,23,False
2025-05-11,23,False
2025-05-18,22,False
2025-05-25,21,False
2025-06-01,19,False
2025-06-08,17,False
2025-06-15,17,False
2025-06-22,16,False
2025-06-29,16,False
2025-07-06,17,False
2025-07-13,16,False
2025-07-20,14,False
2025-07-27,14,False
2025-08-03,14,False
2025-08-10,15,False
2025-08-17,14,False
2025-08-24,15,False
2025-08-31,16,False
2025-09-07,16,False
2025-09-14,16,False
2025-09-21,19,False
2025-09-28,18,False
2025-10-05,19,False
2025-10-12,21,False
2025-10-19,21,False
2025-10-26,22,False
2025-11-02,23,False
2025-11-09,25,False
2025-11-16,27,False
2025-11-23,27,False
2025-11-30,34,False
2025-12-07,36,False
2025-12-14,44,False
2025-12-21,63,False
2025-12-28,60,False
2026-01-04,50,False
2026-01-11,45,False
2026-01-18,41,False
2026-01-25,37,False
2026-02-01,39,False
2026-02-08,41,False
2026-02-15,43,False
2026-02-22,39,False
2026-03-01,39,False
2026-03-08,39,False
2026-03-15,35,False
2026-03-22,33,False
2026-03-29,30,False
2026-04-05,30,False
2026-04-12,27,False
2026-04-19,26,False
2026-04-26,24,False
2026-05-03,24,False
2026-05-10,24,False
2026-05-17,22,False
2026-05-24,24,False
2026-05-31,20,False
2026-06-07,18,False
2026-06-14,17,False
2026-06-21,19,False
2026-06-28,16,False
2026-07-05,16,False
2026-07-12,15,False
2026-07-19,12,False
2026-07-26,11,False
2026-08-02,10,False
2026-08-09,10,False
2026-08-16,11,False
2026-08-23,11,False
2026-08-30,11,False
2026-09-06,13,False
2026-09-13,14,True
