date,dow jones,isPartial
2023-09-10,20,False
2023-09-17,20,False
2023-09-24,22,False
2023-10-01,24,False
2023-10-08,23,False
2023-10-15,21,False
2023-10-22,23,False
2023-10-29,24,False
2023-11-05,23,False
2023-11-12,25,False
2023-11-19,19,False
2023-11-26,22,False
2023-12-03,22,False
2023-12-10,26,False
2023-12-17,27,False
2023-12-24,21,False
2023-12-31,20,False
2024-01-07,22,False
2024-01-14,20,False
2024-01-21,23,False
2024-01-28,18,False
2024-02-04,17,False
2024-02-11,18,False
2024-02-18,16,False
2024-02-25,17,False
2024-03-03,17,False
2024-03-10,16,False
2024-03-17,18,False
2024-03-24,16,False
2024-03-31,17,False
2024-04-07,16,False
2024-04-14,17,False
2024-04-21,18,False
2024-04-28,17,False
2024-05-05,16,False
2024-05-12,18,False
2024-05-19,17,False
2024-05-26,14,False
2024-06-02,17,False
2024-06-09,17,False
2024-06-16,16,False
2024-06-23,15,False
2024-06-30,12,False
2024-07-07,16,False
2024-07-14,19,False
2024-07-21,18,False
2024-07-28,19,False
2024-08-04,35,False
2024-08-11,21,False
2024-08-18,19,False
2024-08-25,18,False
2024-09-01,16,False
2024-09-08,18,False
2024-09-15,21,False
2024-09-22,17,False
2024-09-29,17,False
2024-10-06,16,False
2024-10-13,16,False
2024-10-20,16,False
2024-10-27,16,False
2024-11-03,25,False
2024-11-10,18,False
2024-11-17,16,False
2024-11-24,13,False
2024-12-01,15,False
2024-12-08,14,False
2024-12-15,20,False
2024-12-22,14,False
2024-12-29,14,False
2025-01-05,16,False
2025-01-12,15,False
2025-01-19,17,False
2025-01-26,20,False
2025-02-02,22,False
2025-02-09,17,False
2025-02-16,18,False
2025-02-23,21,False
2025-03-02,38,False
2025-03-09,49,False
2025-03-16,31,False
2025-03-23,28,False
2025-03-30,59,False
2025-04-06,100,False
2025-04-13,47,False
2025-04-20,50,False
2025-04-27,38,False
2025-05-04,33,False
2025-05-11,37,False
2025-05-18,31,False
2025-05-25,25,False
2025-06-01,27,False
2025-06-08,26,False
2025-06-15,23,False
2025-06-22,28,False
2025-06-29,22,False
2025-07-06,26,False
2025-07-13,23,False
2025-07-20,23,False
2025-07-27,26,False
2025-08-03,26,False
2025-08-10,25,False
2025-08-17,24,False
2025-08-24,23,False
2025-08-31,18,False
2025-09-07,20,False
2025-09-14,21,False
2025-09-21,19,False
2025-09-28,19,False
2025-10-05,20,False
2025-10-12,22,False
2025-10-19,21,False
2025-10-26,22,False
2025-11-02,20,False
2025-11-09,21,False
2025-11-16,23,False
2025-11-23,17,False
2025-11-30,19,False
2025-12-07,18,False
2025-12-14,17,False
2025-12-21,13,False
2025-12-28,13,False
2026-01-04,18,False
2026-01-11,18,False
2026-01-18,18,False
2026-01-25,18,False
2026-02-01,20,False
2026-02-08,20,False
2026-02-15,17,False
2026-02-22,19,False
2026-03-01,27,False
2026-03-08,29,False
2026-03-15,26,False
2026-03-22,27,False
2026-03-29,27,False
2026-04-05,27,False
2026-04-12,25,False
2026-04-19,24,False
2026-04-26,20,False
2026-05-03,22,False
2026-05-10,20,False
2026-05-17,20,False
2026-05-24,19,False
2026-05-31,21,False
2026-06-07,21,False
2026-06-14,20,False
2026-06-21,19,False
2026-06-28,16,False
2026-07-05,17,False
2026-07-12,15,False
2026-07-19,17,False
2026-07-26,17,False
2026-08-02,19,False
2026-08-09,15,False
2026-08-16,16,False
2026-08-23,14,False
2026-08-30,14,False
2026-09-06,11,False
2026-09-13,14,True
