date,flu symptoms,isPartial
2026-01-25,37,False
2026-02-01,42,False
2026-02-08,46,False
2026-02-15,48,False
2026-02-22,38,False
2026-03-01,29,False
2026-03-08,26,False
2026-03-15,22,False
2026-03-22,19,False
2026-03-29,16,False
2026-04-05,16,False
2026-04-12,14,False
2026-04-19,13,False
2026-04-26,13,False
2026-05-03,14,False
2026-05-10,13,False
2026-05-17,14,False
2026-05-24,14,False
2026-05-31,15,False
2026-06-07,17,False
2026-06-14,16,False
2026-06-21,18,False
2026-06-28,9,False
2026-07-05,9,False
2026-07-12,10,False
2026-07-19,7,False
2026-07-26,9,False
2026-08-02,10,False
2026-08-09,8,False
2026-08-16,8,False
2026-08-23,9,False
2026-08-30,13,False
2026-09-06,14,False
2026-09-13,17,True
