date,flu a,isPartial
2023-11-05,17,False
2023-11-12,17,False
2023-11-19,15,False
2023-11-26,19,False
2023-12-03,20,False
2023-12-10,25,False
2023-12-17,34,False
2023-12-24,34,False
2023-12-31,27,False
2024-01-07,23,False
2024-01-14,20,False
2024-01-21,22,False
2024-01-28,22,False
2024-02-04,21,False
2024-02-11,20,False
2024-02-18,20,False
2024-02-25,19,False
2024-03-03,16,False
2024-03-10,13,False
2024-03-17,11,False
2024-03-24,11,False
2024-03-31,10,False
2024-04-07,9,False
2024-04-14,9,False
2024-04-21,9,False
2024-04-28,8,False
2024-05-05,8,False
2024-05-12,7,False
2024-05-19,7,False
2024-05-26,6,False
2024-06-02,6,False
2024-06-09,6,False
2024-06-16,6,False
2024-06-23,5,False
2024-06-30,5,False
2024-07-07,5,False
2024-07-14,5,False
2024-07-21,5,False
2024-07-28,5,False
2024-08-04,5,False
2024-08-11,6,False
2024-08-18,7,False
2024-08-25,9,False
2024-09-01,10,False
2024-09-08,12,False
2024-09-15,15,False
2024-09-22,15,False
2024-09-29,15,False
2024-10-06,16,False
2024-10-13,16,False
2024-10-20,16,False
2024-10-27,14,False
2024-11-03,13,False
2024-11-10,15,False
2024-11-17,16,False
2024-11-24,13,False
2024-12-01,16,False
2024-12-08,20,False
2024-12-15,32,False
2024-12-22,42,False
2024-12-29,45,False
2025-01-05,36,False
2025-01-12,39,False
2025-01-19,49,False
2025-01-26,76,False
2025-02-02,87,False
2025-02-09,72,False
2025-02-16,56,False
2025-02-23,47,False
2025-03-02,33,False
2025-03-09,29,False
2025-03-16,22,False
2025-03-23,18,False
2025-03-30,14,False
2025-04-06,12,False
2025-04-13,10,False
2025-04-20,11,False
2025-04-27,10,False
2025-05-04,9,False
2025-05-11,9,False
2025-05-18,8,False
2025-05-25,8,False
2025-06-01,7,False
2025-06-08,6,False
2025-06-15,6,False
2025-06-22,6,False
2025-06-29,6,False
2025-07-06,7,False
2025-07-13,6,False
2025-07-20,6,False
2025-07-27,6,False
2025-08-03,7,False
2025-08-10,8,False
2025-08-17,9,False
2025-08-24,10,False
2025-08-31,13,False
2025-09-07,15,False
2025-09-14,18,False
2025-09-21,20,False
2025-09-28,21,False
2025-10-05,22,False
2025-10-12,22,False
2025-10-19,22,False
2025-10-26,20,False
2025-11-02,21,False
2025-11-09,20,False
2025-11-16,23,False
2025-11-23,23,False
2025-11-30,28,False
2025-12-07,35,False
2025-12-14,59,False
2025-12-21,100,False
2025-12-28,95,False
2026-01-04,66,False
2026-01-11,49,False
2026-01-18,43,False
2026-01-25,36,False
2026-02-01,36,False
2026-02-08,39,False
2026-02-15,36,False
2026-02-22,32,False
2026-03-01,30,False
2026-03-08,24,False
2026-03-15,20,False
2026-03-22,19,False
2026-03-29,15,False
2026-04-05,13,False
2026-04-12,12,False
2026-04-19,12,False
2026-04-26,12,False
2026-05-03,12,False
2026-05-10,11,False
2026-05-17,10,False
2026-05-24,10,False
2026-05-31,10,False
2026-06-07,10,False
2026-06-14,10,False
2026-06-21,10,False
2026-06-28,7,False
2026-07-05,7,False
2026-07-12,7,False
2026-07-19,7,False
2026-07-26,7,False
2026-08-02,8,False
2026-08-09,9,False
2026-08-16,10,False
2026-08-23,12,False
2026-08-30,16,False
2026-09-06,19,False
2026-09-13,23,True
